10	106
20	313
40	743
80	1686
160	3729
320	8152
640	17575
1280	37746
2560	80560
5120	170564
1000	22655
1100	29656
1200	34535
1300	38735
1400	43173
1500	46945
1600	51289
1700	55351
1800	59720
1900	63172
2000	67400
2100	71673
2200	75650
2300	80651
2400	84411
2500	88022
2600	91794
2700	97395
2800	101412
2900	105148
3000	109864
2000	47943
2100	59610
2200	65718
2300	71103
2400	76263
2500	80630
2600	85488
2700	90541
2800	94973
2900	98664
3000	103693
3100	108279
3200	112393
3300	117851
3400	122194
3500	126010
3600	129498
3700	133998
3800	139893
3900	144163
4000	148004
4100	152176
4200	157942
4300	162920
4400	166839
4500	170670
4600	174615
4700	178355
4800	182245
4900	187807
5000	194197
1000	20979
1100	26238
1200	30264
1300	34380
1400	38510
1500	42553
1600	46498
1700	50401
1800	54245
1900	58125
2000	61961
2100	65918
2200	69814
2300	73832
2400	77760
2500	81764
2600	85787
2700	89753
2800	93782
2900	97891
3000	101996
3100	106231
3200	110321
3300	114254
3400	118160
3500	122209
3600	126379
3700	130715
3800	135083
3900	139248
4000	143357
4100	147675
4200	152170
4300	156613
4400	161007
4500	165205
4600	169372
4700	173164
4800	177007
4900	181132
5000	185536
5100	190245
5200	194982
5300	199562
5400	203905
5500	208026
5600	212133
5700	216564
5800	221292
5900	226125
6000	231112
6100	235817
6200	240179
6300	244460
6400	248620
6500	252606
6600	256617
6700	260694
6800	264544
6900	268700
7000	273292
7100	278155
7200	283762
7300	288745
7400	293877
7500	298606
7600	302872
7700	307107
7800	311216
7900	315337
8000	319705
8100	324437
8200	329591
8300	335202
8400	340729
8500	346030
8600	350671
8700	355129
8800	359435
8900	363643
9000	367802
9100	372043
9200	376288
9300	380561
9400	384542
9500	388735
9600	392720
9700	396866
9800	401341
9900	405909
10000	411414
10	108
20	330
40	762
80	1714
160	3800
320	8296
640	17857
1280	38377
2560	82134
5120	174730
10	112
50	787
250	4814
1250	30323
6250	183093
